ref_area.label,indicator.label,source.label,sex.label,classif1.label,time,obs_value,obs_status.label,note_classif.label,note_indicator.label,note_source.label
Albania,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,11.58,,,,Repository: ILO-STATISTICS - Micro data processing
Albania,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,11.32,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,1.28,,,,Repository: ILO-STATISTICS - Micro data processing
United Arab Emirates,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.1,,,,Repository: ILO-STATISTICS - Micro data processing
Argentina,Unemployment rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Male,Age (Aggregate bands): Total,2019,9.18,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Argentina,Unemployment rate by sex and age (%),LFS - Encuesta Permanente de Hogares (Urbano),Sex: Female,Age (Aggregate bands): Total,2019,10.69,,,,Repository: ILO-STATISTICS - Micro data processing | Geographical coverage: Main cities or metropolitan areas
Armenia,Unemployment rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,17.5,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 75 years old
Armenia,Unemployment rate by sex and age (%),LFS - Household Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,19.31,,,,Repository: ILO-STATISTICS - Micro data processing | Employment definition: Excluding own-use production workers | Age coverage - maximum age: 75 years old
Australia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.21,,,,
Australia,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.1,,,,
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.61,,,,Repository: Eurostat special tabulation
Austria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.35,,,,Repository: Eurostat special tabulation
Azerbaijan,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.03,,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Azerbaijan,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,5.71,,,,Employment definition: Excluding own-use production workers | Data reference period: End of the year | Population coverage: Excluding both institutional population and armed forces and/or conscripts
Belgium,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.73,,,,Repository: Eurostat special tabulation
Belgium,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,4.94,,,,Repository: Eurostat special tabulation
Bulgaria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,4.54,,,,Repository: Eurostat special tabulation
Bulgaria,Unemployment rate by sex and age (%),LFS - EU Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.87,,,,Repository: Eurostat special tabulation
Bosnia and Herzegovina,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,13.65,,,,Repository: ILO-STATISTICS - Micro data processing
Bosnia and Herzegovina,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,18.78,,,,Repository: ILO-STATISTICS - Micro data processing
Belarus,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.11,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Age coverage - maximum age: 74 years old
Belarus,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,3.2,,,,Employment definition: Excluding own-use production workers | Population coverage: Excluding non-permanent residents | Age coverage - maximum age: 74 years old
Belize,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,5.87,,,Unemployment definition: Two criteria (not in employment and currently available),Repository: ILO-STATISTICS - Micro data processing
Belize,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,13.58,,,Unemployment definition: Two criteria (not in employment and currently available),Repository: ILO-STATISTICS - Micro data processing
Bolivia,Unemployment rate by sex and age (%),HIES - Encuesta de Hogares,Sex: Male,Age (Aggregate bands): Total,2019,3.37,,,,Repository: ILO-STATISTICS - Micro data processing
Bolivia,Unemployment rate by sex and age (%),HIES - Encuesta de Hogares,Sex: Female,Age (Aggregate bands): Total,2019,4.38,,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,Unemployment rate by sex and age (%),HS - Pesquisa Nacional por Amostra de Domicílios Contínua,Sex: Male,Age (Aggregate bands): Total,2019,10.17,,,,Repository: ILO-STATISTICS - Micro data processing
Brazil,Unemployment rate by sex and age (%),HS - Pesquisa Nacional por Amostra de Domicílios Contínua,Sex: Female,Age (Aggregate bands): Total,2019,14.09,,,,Repository: ILO-STATISTICS - Micro data processing
Barbados,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,9.53,,,,Repository: ILO-STATISTICS - Micro data processing
Barbados,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,7.27,,,,Repository: ILO-STATISTICS - Micro data processing
Brunei Darussalam,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Male,Age (Aggregate bands): Total,2019,6.01,,,,Repository: ILO-STATISTICS - Micro data processing
Brunei Darussalam,Unemployment rate by sex and age (%),LFS - Labour Force Survey,Sex: Female,Age (Aggregate bands): Total,2019,8.34,,,,Repository: ILO-STATISTICS - Micro data processing
